title,artist,version,difficulty
Clione Hommarju Remix [EXH],Hommarju,1,12
SEED (DJ Noriken Remix) [NOV],DJ Noriken,1,7
SEED (DJ Noriken Remix) [ADV],DJ Noriken,1,12
SEED (DJ Noriken Remix) [EXH],DJ Noriken,1,14
Ray [NOV],源屋,1,4
Ray [ADV],源屋,1,8
Ray [EXH],源屋,1,12
Ray [HVN],源屋,1,16
Soundscape [NOV],Hommarju,1,4
Soundscape [ADV],Hommarju,1,9
Soundscape [EXH],Hommarju,1,13
Abyss (sharp stepp remix) [NOV],borzy,1,3
Abyss (sharp stepp remix) [ADV],borzy,1,10
Abyss (sharp stepp remix) [EXH],borzy,1,13
Tomorrow Perfume (C-Show Remix) [NOV],C-Show,1,5
Tomorrow Perfume (C-Show Remix) [ADV],C-Show,1,12
Tomorrow Perfume (C-Show Remix) [EXH],C-Show,1,16
Blue Rain Dustboxxxx RMX [NOV],Dustboxxxx,1,5
Blue Rain Dustboxxxx RMX [ADV],Dustboxxxx,1,10
Blue Rain Dustboxxxx RMX [EXH],Dustboxxxx,1,14
rainbow flyer -gratitude remix- [NOV],PHQUASE,1,5
rainbow flyer -gratitude remix- [ADV],PHQUASE,1,9
rainbow flyer -gratitude remix- [EXH],PHQUASE,1,16
AA BlackY mix [NOV],BlackY,1,6
AA BlackY mix [ADV],BlackY,1,12
AA BlackY mix [EXH],BlackY,1,16
AA BlackY mix [INF],BlackY,1,17
Tomorrow Perfume (tpz Despair Remix) [NOV],t+pazolite,1,4
Tomorrow Perfume (tpz Despair Remix) [ADV],t+pazolite,1,9
Tomorrow Perfume (tpz Despair Remix) [EXH],t+pazolite,1,13
pandora (Maozon Remix) [NOV],Maozon,1,2
pandora (Maozon Remix) [ADV],Maozon,1,8
pandora (Maozon Remix) [EXH],Maozon,1,13
Freeway Shuffle -More2 HAPPY Re-Mix- [NOV],Yu_Asahina,1,5
Freeway Shuffle -More2 HAPPY Re-Mix- [ADV],Yu_Asahina,1,10
Freeway Shuffle -More2 HAPPY Re-Mix- [EXH],Yu_Asahina,1,15
V.I.P. [NOV],ismK,1,6
V.I.P. [ADV],ismK,1,11
V.I.P. [EXH],ismK,1,17
V.I.P. [VVD],ismK,1,18
Absurd Gaff [NOV],siromaru,1,6
Absurd Gaff [ADV],siromaru,1,12
Absurd Gaff [EXH],siromaru,1,16
Absurd Gaff [GRV],siromaru,1,18
éclair au chocolat [NOV],kamome sano,1,3
éclair au chocolat [ADV],kamome sano,1,9
éclair au chocolat [EXH],kamome sano,1,13
éclair au chocolat [GRV],kamome sano,1,17
EGG [NOV],ginkiha,1,3
EGG [ADV],ginkiha,1,9
EGG [EXH],ginkiha,1,14
EGG [GRV],ginkiha,1,17
大宇宙ステージ [NOV],黒魔,1,5
大宇宙ステージ [ADV],黒魔,1,11
大宇宙ステージ [EXH],黒魔,1,17
大宇宙ステージ [GRV],黒魔,1,19
TRIGGER★HAPPY [NOV],P*Light,1,5
TRIGGER★HAPPY [ADV],P*Light,1,10
TRIGGER★HAPPY [EXH],P*Light,1,14
TRIGGER★HAPPY [GRV],P*Light,1,16
VISION [NOV],nora2r,1,3
VISION [ADV],nora2r,1,8
VISION [EXH],nora2r,1,13
VISION [GRV],nora2r,1,16
croiX [NOV],TeamGrimoire+あま猫,1,6
croiX [ADV],TeamGrimoire+あま猫,1,12
croiX [EXH],TeamGrimoire+あま猫,1,16
croiX [INF],TeamGrimoire+あま猫,1,18
Gott [NOV],Hommarju,1,6
Gott [ADV],Hommarju,1,11
Gott [EXH],Hommarju,1,16
Gott [INF],Hommarju,1,17
Dynasty [NOV],Yooh,1,6
Dynasty [ADV],Yooh,1,12
Dynasty [EXH],Yooh,1,16
Dynasty [INF],Yooh,1,17
PANIC HOLIC [NOV],C-Show,1,6
PANIC HOLIC [ADV],C-Show,1,11
PANIC HOLIC [EXH],C-Show,1,16
PANIC HOLIC [GRV],C-Show,1,18
Max Burning!! [NOV],BlackY,1,7
Max Burning!! [ADV],BlackY,1,13
Max Burning!! [EXH],BlackY,1,17
Max Burning!! [INF],BlackY,1,18
境界インサニティー [NOV],Toma+o,1,6
境界インサニティー [ADV],Toma+o,1,11
境界インサニティー [EXH],Toma+o,1,13
true feeling？～本当の気持ち♪～ [NOV],shin,1,4
true feeling？～本当の気持ち♪～ [ADV],shin,1,10
true feeling？～本当の気持ち♪～ [EXH],shin,1,12
ナツノメイロ [NOV],stereoberry,1,4
ナツノメイロ [ADV],stereoberry,1,11
ナツノメイロ [EXH],stereoberry,1,14
灰色の空想をつかんで [NOV],じろうす,1,5
灰色の空想をつかんで [ADV],じろうす,1,8
灰色の空想をつかんで [EXH],じろうす,1,12
金縛りの逢を [NOV],はるなば,1,6
金縛りの逢を [ADV],はるなば,1,11
金縛りの逢を [EXH],はるなば,1,17
金縛りの逢を [HVN],はるなば,1,18
センチメント [NOV],uno(IOSYS),1,1
センチメント [ADV],uno(IOSYS),1,7
センチメント [EXH],uno(IOSYS),1,10
Disagree Feelings [NOV],uno(IOSYS),1,6
Disagree Feelings [ADV],uno(IOSYS),1,11
Disagree Feelings [EXH],uno(IOSYS),1,15
MANDARA [NOV],さたな,1,5
MANDARA [ADV],さたな,1,10
MANDARA [EXH],さたな,1,15
超恋愛☆エクストリーム・ガール [NOV],"Music by Ayatsugu_Otowa, Vocal by みゅい",1,5
超恋愛☆エクストリーム・ガール [ADV],"Music by Ayatsugu_Otowa, Vocal by みゅい",1,10
超恋愛☆エクストリーム・ガール [EXH],"Music by Ayatsugu_Otowa, Vocal by みゅい",1,15
draw!!!! [NOV],"Music by PHQUASE, Vocal by ぁゅ",1,3
draw!!!! [ADV],"Music by PHQUASE, Vocal by ぁゅ",1,8
draw!!!! [EXH],"Music by PHQUASE, Vocal by ぁゅ",1,12
僕たちは此処にいる [NOV],でもたまに居場所とか見失うかぼちゃ,1,4
僕たちは此処にいる [ADV],でもたまに居場所とか見失うかぼちゃ,1,9
僕たちは此処にいる [EXH],でもたまに居場所とか見失うかぼちゃ,1,13
Life is Beautiful [NOV],"Music by コバヤシユウヤ, Vocal by Kuroa*",1,4
Life is Beautiful [ADV],"Music by コバヤシユウヤ, Vocal by Kuroa*",1,9
Life is Beautiful [EXH],"Music by コバヤシユウヤ, Vocal by Kuroa*",1,13
The world of sound [NOV],"Music by Ryuwitty, Vocal by Kuroa*",1,5
The world of sound [ADV],"Music by Ryuwitty, Vocal by Kuroa*",1,11
The world of sound [EXH],"Music by Ryuwitty, Vocal by Kuroa*",1,17
The world of sound [HVN],"Music by Ryuwitty, Vocal by Kuroa*",1,18
STARDUST MERMAID [NOV],"Music by MasKaleido, Vocal by ぁゅ",1,1
STARDUST MERMAID [ADV],"Music by MasKaleido, Vocal by ぁゅ",1,7
STARDUST MERMAID [EXH],"Music by MasKaleido, Vocal by ぁゅ",1,12
ずっとそばにいさせてよね！ [NOV],"Music by?音遊人 -mu-jin-,?Vocal by?みかん汁",1,4
ずっとそばにいさせてよね！ [ADV],"Music by?音遊人 -mu-jin-,?Vocal by?みかん汁",1,8
ずっとそばにいさせてよね！ [EXH],"Music by?音遊人 -mu-jin-,?Vocal by?みかん汁",1,15
七色のウタ [NOV],"Music by?上村香月,?Vocal by?みゅい",1,4
七色のウタ [ADV],"Music by?上村香月,?Vocal by?みゅい",1,9
七色のウタ [EXH],"Music by?上村香月,?Vocal by?みゅい",1,13
Hello world! [NOV],"Music by 源屋, Vocal by SOPHY",1,3
Hello world! [ADV],"Music by 源屋, Vocal by SOPHY",1,10
Hello world! [EXH],"Music by 源屋, Vocal by SOPHY",1,13
ALBIDA Powerless Mix [NOV],無力P,1,5
ALBIDA Powerless Mix [ADV],無力P,1,10
ALBIDA Powerless Mix [EXH],無力P,1,13
ALBIDA Powerless Mix [INF],無力P,1,17
Evans VolteX Pf arrange [NOV],cosMo@暴走P,1,5
Evans VolteX Pf arrange [ADV],cosMo@暴走P,1,9
Evans VolteX Pf arrange [EXH],cosMo@暴走P,1,15
Evans VolteX Pf arrange [HVN],cosMo@暴走P,1,18
ガッテンだ!! Novoiski Remix [NOV],ノボイスキ,1,3
ガッテンだ!! Novoiski Remix [ADV],ノボイスキ,1,7
ガッテンだ!! Novoiski Remix [EXH],ノボイスキ,1,11
jet coaster☆girl sasakure.UK tRiCkStAr Remix [NOV],sasakure.UK feat. mirto,1,1
jet coaster☆girl sasakure.UK tRiCkStAr Remix [ADV],sasakure.UK feat. mirto,1,5
jet coaster☆girl sasakure.UK tRiCkStAr Remix [EXH],sasakure.UK feat. mirto,1,9
smooooch・∀・ KN mix [NOV],KN,1,3
smooooch・∀・ KN mix [ADV],KN,1,8
smooooch・∀・ KN mix [EXH],KN,1,13
ヒマワリ MUZIK SERVANT Remix [NOV],MUZIK SERVANT,1,4
ヒマワリ MUZIK SERVANT Remix [ADV],MUZIK SERVANT,1,8
ヒマワリ MUZIK SERVANT Remix [EXH],MUZIK SERVANT,1,10
ふしぎなくすり いっきのみっくす [NOV],ゆうゆ,1,3
ふしぎなくすり いっきのみっくす [ADV],ゆうゆ,1,6
ふしぎなくすり いっきのみっくす [EXH],ゆうゆ,1,11
Broken 8cmix [NOV],iroha(sasaki),1,6
Broken 8cmix [ADV],iroha(sasaki),1,10
Broken 8cmix [EXH],iroha(sasaki),1,14
Broken 8cmix [HVN],iroha(sasaki),1,18
MAX 300 takamatt MIN REMIX [NOV],takamatt,1,4
MAX 300 takamatt MIN REMIX [ADV],takamatt,1,9
MAX 300 takamatt MIN REMIX [EXH],takamatt,1,13
Love?Shine わんだふるmix [NOV],ARM (IOSYS) feat. 一ノ瀬月琉(monotone),1,4
Love?Shine わんだふるmix [ADV],ARM (IOSYS) feat. 一ノ瀬月琉(monotone),1,7
Love?Shine わんだふるmix [EXH],ARM (IOSYS) feat. 一ノ瀬月琉(monotone),1,13
凛として咲く花の如く スプーキィテルミィンミックス [NOV],マチゲリータ,1,1
凛として咲く花の如く スプーキィテルミィンミックス [ADV],マチゲリータ,1,6
凛として咲く花の如く スプーキィテルミィンミックス [EXH],マチゲリータ,1,11
凛として咲く花の如く スプーキィテルミィンミックス [INF],マチゲリータ,1,15
Second Heaven Lamaze-REMIX [NOV],ラマーズP,1,3
Second Heaven Lamaze-REMIX [ADV],ラマーズP,1,8
Second Heaven Lamaze-REMIX [EXH],ラマーズP,1,13
Xepher Light and Darkness Dragon REMIX [NOV],デッドボールP,1,5
Xepher Light and Darkness Dragon REMIX [ADV],デッドボールP,1,9
Xepher Light and Darkness Dragon REMIX [EXH],デッドボールP,1,16
Xepher Light and Darkness Dragon REMIX [GRV],デッドボールP,1,18
Diamond Dust Black Diamond Dust [NOV],azuma,1,4
Diamond Dust Black Diamond Dust [ADV],azuma,1,8
Diamond Dust Black Diamond Dust [EXH],azuma,1,12
遠く Dexholic Mix [NOV],Dixie Flatline feat.祭屋,1,2
遠く Dexholic Mix [ADV],Dixie Flatline feat.祭屋,1,6
遠く Dexholic Mix [EXH],Dixie Flatline feat.祭屋,1,11
冥 Rockin' SWING REMIX [NOV],164,1,6
冥 Rockin' SWING REMIX [ADV],164,1,13
冥 Rockin' SWING REMIX [EXH],164,1,16
冥 Rockin' SWING REMIX [INF],164,1,18
RED ZONE NeoClassical Party Remix [NOV],幽閉カタルシス,1,4
RED ZONE NeoClassical Party Remix [ADV],幽閉カタルシス,1,11
RED ZONE NeoClassical Party Remix [EXH],幽閉カタルシス,1,14
FLOWER REDALiCE Remix [NOV],REDALiCE,1,6
FLOWER REDALiCE Remix [ADV],REDALiCE,1,11
FLOWER REDALiCE Remix [EXH],REDALiCE,1,16
FLOWER REDALiCE Remix [INF],REDALiCE,1,18
neu BSP style [NOV],cosMo@暴走P,1,4
neu BSP style [ADV],cosMo@暴走P,1,9
neu BSP style [EXH],cosMo@暴走P,1,16
恋する☆宇宙戦争っ！！ あばばばみっくす [NOV],ARM(IOSYS),1,6
恋する☆宇宙戦争っ！！ あばばばみっくす [ADV],ARM(IOSYS),1,12
恋する☆宇宙戦争っ！！ あばばばみっくす [EXH],ARM(IOSYS),1,15
恋する☆宇宙戦争っ！！ あばばばみっくす [INF],ARM(IOSYS),1,15
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX [NOV],D.watt,1,5
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX [ADV],D.watt,1,10
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX [EXH],D.watt,1,15
It's over [NOV],ゆよゆっぺ feat.めらみぽっぷ,1,1
It's over [ADV],ゆよゆっぺ feat.めらみぽっぷ,1,8
It's over [EXH],ゆよゆっぺ feat.めらみぽっぷ,1,12
It's over [INF],ゆよゆっぺ feat.めらみぽっぷ,1,13
Iterator [NOV],yanagi,1,2
Iterator [ADV],yanagi,1,8
Iterator [EXH],yanagi,1,10
good high school [NOV],baker,1,2
good high school [ADV],baker,1,5
good high school [EXH],baker,1,8
good high school [INF],baker,1,17
ごりらがいるんだ [NOV],ピノキオP,1,4
ごりらがいるんだ [ADV],ピノキオP,1,8
ごりらがいるんだ [EXH],ピノキオP,1,12
ごりらがいるんだ ～かぼちゃが歌ってみたVer～*3 [NOV],ピノキオP feat.かぼちゃ,1,15
dilemma [NOV],豚乙女,1,2
dilemma [ADV],豚乙女,1,6
dilemma [EXH],豚乙女,1,10
SurVALI [NOV],YM,1,3
SurVALI [ADV],YM,1,8
SurVALI [EXH],YM,1,11
とある少年の一日 [NOV],蝶々P,1,3
とある少年の一日 [ADV],蝶々P,1,7
とある少年の一日 [EXH],蝶々P,1,12
ナナイロ [NOV],otetsu,1,2
ナナイロ [ADV],otetsu,1,7
ナナイロ [EXH],otetsu,1,10
ナナイロ [INF],otetsu,1,13
西日暮里の踊り [NOV],家の裏でマンボウが死んでるP,1,4
西日暮里の踊り [ADV],家の裏でマンボウが死んでるP,1,7
西日暮里の踊り [EXH],家の裏でマンボウが死んでるP,1,12
西日暮里の踊り [INF],家の裏でマンボウが死んでるP,1,16
Ha･lle･lu･jah [NOV],SOUND HOLIC feat. Nana Takahashi,1,4
Ha･lle･lu･jah [ADV],SOUND HOLIC feat. Nana Takahashi,1,7
Ha･lle･lu･jah [EXH],SOUND HOLIC feat. Nana Takahashi,1,13
Ha･lle･lu･jah [INF],SOUND HOLIC feat. Nana Takahashi,1,15
バタフライキャット [NOV],daniwell,1,3
バタフライキャット [ADV],daniwell,1,8
バタフライキャット [EXH],daniwell,1,13
バタフライキャット [INF],daniwell,1,15
PULSE LASER [NOV],ヒゲドライバー,1,2
PULSE LASER [ADV],ヒゲドライバー,1,7
PULSE LASER [EXH],ヒゲドライバー,1,12
PULSE LASER [INF],ヒゲドライバー,1,16
Love♡sicK [NOV],8#Prince(八王子P),1,3
Love♡sicK [ADV],8#Prince(八王子P),1,7
Love♡sicK [EXH],8#Prince(八王子P),1,11
Rebellious stage [NOV],Dios/シグナルP,1,2
Rebellious stage [ADV],Dios/シグナルP,1,6
Rebellious stage [EXH],Dios/シグナルP,1,10
Rebellious stage [INF],Dios/シグナルP,1,13
サイコパスコミュニケーション [NOV],ゆちゃP,1,4
サイコパスコミュニケーション [ADV],ゆちゃP,1,7
サイコパスコミュニケーション [EXH],ゆちゃP,1,10
サイコパスコミュニケーション [INF],ゆちゃP,1,13
不思議玩具ガンガラディンドン [NOV],マチゲリータ,1,5
不思議玩具ガンガラディンドン [ADV],マチゲリータ,1,8
不思議玩具ガンガラディンドン [EXH],マチゲリータ,1,14
ヤサイマシ☆ニンニクアブラオオメ [NOV],azuma feat. ななひら,1,4
ヤサイマシ☆ニンニクアブラオオメ [ADV],azuma feat. ななひら,1,8
ヤサイマシ☆ニンニクアブラオオメ [EXH],azuma feat. ななひら,1,13
ヤサイマシ☆ニンニクアブラオオメ [INF],azuma feat. ななひら,1,16
U&M [NOV],emon,1,2
U&M [ADV],emon,1,5
U&M [EXH],emon,1,8
RPGシンドローム [NOV],幽閉カタルシス,1,5
RPGシンドローム [ADV],幽閉カタルシス,1,10
RPGシンドローム [EXH],幽閉カタルシス,1,13
cloud [NOV],EZFG,1,4
cloud [ADV],EZFG,1,8
cloud [EXH],EZFG,1,12
cloud [HVN],EZFG,1,17
世界はネコのもの [NOV],Nem,1,2
世界はネコのもの [ADV],Nem,1,6
世界はネコのもの [EXH],Nem,1,12
TYCOON [NOV],SOUND HOLIC feat. Nana Takahashi,1,5
TYCOON [ADV],SOUND HOLIC feat. Nana Takahashi,1,10
TYCOON [EXH],SOUND HOLIC feat. Nana Takahashi,1,15
TYCOON [INF],SOUND HOLIC feat. Nana Takahashi,1,17
wound [NOV],KEENO,1,3
wound [ADV],KEENO,1,8
wound [EXH],KEENO,1,11
「月風魔伝」龍骨鬼戦 yks Remix [NOV],yuukiss,1,5
「月風魔伝」龍骨鬼戦 yks Remix [ADV],yuukiss,1,8
「月風魔伝」龍骨鬼戦 yks Remix [EXH],yuukiss,1,13
「月風魔伝」龍骨鬼戦 yks Remix [INF],yuukiss,1,16
Vampire Killer scar-ed Pf rmx [NOV],fu_mou,1,2
Vampire Killer scar-ed Pf rmx [ADV],fu_mou,1,6
Vampire Killer scar-ed Pf rmx [EXH],fu_mou,1,12
Grip & Break down!! - SDVX Edit. - [NOV],SOUND HOLIC feat. Nana Takahashi,1,5
Grip & Break down!! - SDVX Edit. - [ADV],SOUND HOLIC feat. Nana Takahashi,1,10
Grip & Break down!! - SDVX Edit. - [EXH],SOUND HOLIC feat. Nana Takahashi,1,15
taboo tears you up 2008 [NOV],REDALiCE,1,4
taboo tears you up 2008 [ADV],REDALiCE,1,10
taboo tears you up 2008 [EXH],REDALiCE,1,15
チルノのパーフェクトさんすう教室 [NOV],ARM(IOSYS),1,5
チルノのパーフェクトさんすう教室 [ADV],ARM(IOSYS),1,10
チルノのパーフェクトさんすう教室 [EXH],ARM(IOSYS),1,13
チルノのパーフェクトさんすう教室 [INF],ARM(IOSYS),1,16
Bad Apple!! feat. nomico [NOV],Masayoshi Minoshima,1,2
Bad Apple!! feat. nomico [ADV],Masayoshi Minoshima,1,7
Bad Apple!! feat. nomico [EXH],Masayoshi Minoshima,1,12
Bad Apple!! feat. nomico [INF],Masayoshi Minoshima,1,16
幻想のサテライト [NOV],豚乙女,1,5
幻想のサテライト [ADV],豚乙女,1,11
幻想のサテライト [EXH],豚乙女,1,16
幻想のサテライト [HVN],豚乙女,1,18
月に叢雲華に風 [NOV],幽閉サテライト feat. senya,1,5
月に叢雲華に風 [ADV],幽閉サテライト feat. senya,1,9
月に叢雲華に風 [EXH],幽閉サテライト feat. senya,1,13
月に叢雲華に風 [INF],幽閉サテライト feat. senya,1,15
明星ロケット [NOV],岸田教団&THE明星ロケッツ,1,3
明星ロケット [ADV],岸田教団&THE明星ロケッツ,1,8
明星ロケット [EXH],岸田教団&THE明星ロケッツ,1,13
Runway Drive [NOV],FELT,1,2
Runway Drive [ADV],FELT,1,7
Runway Drive [EXH],FELT,1,11
色は匂へど散りぬるを [NOV],幽閉サテライト feat. senya,1,2
色は匂へど散りぬるを [ADV],幽閉サテライト feat. senya,1,8
色は匂へど散りぬるを [EXH],幽閉サテライト feat. senya,1,12
ケロ⑨destiny [NOV],Silver Forest feat.めらみぽっぷ,1,4
ケロ⑨destiny [ADV],Silver Forest feat.めらみぽっぷ,1,10
ケロ⑨destiny [EXH],Silver Forest feat.めらみぽっぷ,1,15
ケロ⑨destiny [HVN],Silver Forest feat.めらみぽっぷ,1,17
"Help me, ERINNNNNN!! [NOV]",ビートまりお(COOL&CREATE),1,5
"Help me, ERINNNNNN!! [ADV]",ビートまりお(COOL&CREATE),1,10
"Help me, ERINNNNNN!! [EXH]",ビートまりお(COOL&CREATE),1,13
魔理沙は大変なものを盗んでいきました [NOV],ARM(IOSYS),1,4
魔理沙は大変なものを盗んでいきました [ADV],ARM(IOSYS),1,9
魔理沙は大変なものを盗んでいきました [EXH],ARM(IOSYS),1,13
魔理沙は大変なものを盗んでいきました [GRV],ARM(IOSYS),1,18
物凄い勢いでけーねが物凄いうた [NOV],Halozy,1,5
物凄い勢いでけーねが物凄いうた [ADV],Halozy,1,10
物凄い勢いでけーねが物凄いうた [EXH],Halozy,1,15
Rot in hell！！ [NOV],EastNewSound,1,3
Rot in hell！！ [ADV],EastNewSound,1,8
Rot in hell！！ [EXH],EastNewSound,1,13
究極焼肉レストラン！お燐の地獄亭！ [NOV],ARM(IOSYS),1,5
究極焼肉レストラン！お燐の地獄亭！ [ADV],ARM(IOSYS),1,10
究極焼肉レストラン！お燐の地獄亭！ [EXH],ARM(IOSYS),1,13
Silent Story [NOV],発熱巫女～ず,1,2
Silent Story [ADV],発熱巫女～ず,1,8
Silent Story [EXH],発熱巫女～ず,1,11
DesireDrive [NOV],岸田教団&THE明星ロケッツ,1,5
DesireDrive [ADV],岸田教団&THE明星ロケッツ,1,10
DesireDrive [EXH],岸田教団&THE明星ロケッツ,1,13
ナイト・オブ・ナイツ [NOV],ビートまりお(COOL&CREATE),1,5
ナイト・オブ・ナイツ [ADV],ビートまりお(COOL&CREATE),1,11
ナイト・オブ・ナイツ [EXH],ビートまりお(COOL&CREATE),1,15
ナイト・オブ・ナイツ [INF],ビートまりお(COOL&CREATE),1,17
泡沫、哀のまほろば [NOV],幽閉サテライト feat. senya,1,2
泡沫、哀のまほろば [ADV],幽閉サテライト feat. senya,1,8
泡沫、哀のまほろば [EXH],幽閉サテライト feat. senya,1,13
-Rayrain- [NOV],こなぐすり,1,3
-Rayrain- [ADV],こなぐすり,1,9
-Rayrain- [EXH],こなぐすり,1,12
Earthquake Super Shock - SDVX Edit. - [NOV],SOUND HOLIC feat. Nana Takahashi,1,4
Earthquake Super Shock - SDVX Edit. - [ADV],SOUND HOLIC feat. Nana Takahashi,1,10
Earthquake Super Shock - SDVX Edit. - [EXH],SOUND HOLIC feat. Nana Takahashi,1,15
Strawberry Crisis [NOV],CROW SCLAW,1,4
Strawberry Crisis [ADV],CROW SCLAW,1,10
Strawberry Crisis [EXH],CROW SCLAW,1,16
秘封倶楽部の未踏世界 [NOV],君の美術館,1,2
秘封倶楽部の未踏世界 [ADV],君の美術館,1,9
秘封倶楽部の未踏世界 [EXH],君の美術館,1,12
Wheel [NOV],Syrufit feat. 綾倉盟/市松椿,1,3
Wheel [ADV],Syrufit feat. 綾倉盟/市松椿,1,11
Wheel [EXH],Syrufit feat. 綾倉盟/市松椿,1,16
Wheel [HVN],Syrufit feat. 綾倉盟/市松椿,1,17
おにゃのこ きねんび [NOV],赤飯,1,5
おにゃのこ きねんび [ADV],赤飯,1,9
おにゃのこ きねんび [EXH],赤飯,1,13
カーニバル [NOV],otetsu feat.灯油,1,4
カーニバル [ADV],otetsu feat.灯油,1,10
カーニバル [EXH],otetsu feat.灯油,1,14
キミノメヲ [NOV],そらる,1,3
キミノメヲ [ADV],そらる,1,9
キミノメヲ [EXH],そらる,1,12
ソラヘドライブ [NOV],ぐるたみん,1,3
ソラヘドライブ [ADV],ぐるたみん,1,8
ソラヘドライブ [EXH],ぐるたみん,1,12
春色ポートレート [NOV],しゃむおん,1,1
春色ポートレート [ADV],しゃむおん,1,4
春色ポートレート [EXH],しゃむおん,1,7
天ノ弱 [NOV],164 feat. GUMI,1,3
天ノ弱 [ADV],164 feat. GUMI,1,9
天ノ弱 [EXH],164 feat. GUMI,1,13
天ノ弱 [INF],164 feat. GUMI,1,17
君にエールを・・・！ （DJ UTO REMIX） [NOV],Mayumi Morinaga,1,5
君にエールを・・・！ （DJ UTO REMIX） [ADV],Mayumi Morinaga,1,10
君にエールを・・・！ （DJ UTO REMIX） [EXH],Mayumi Morinaga,1,14
Nyan Cat [NOV],daniwellP feat. 桃音モモ,1,2
Nyan Cat [ADV],daniwellP feat. 桃音モモ,1,8
Nyan Cat [EXH],daniwellP feat. 桃音モモ,1,13
Nyan Cat [INF],daniwellP feat. 桃音モモ,1,16
イカサマライフゲイム [NOV],kemu feat. GUMI,1,4
イカサマライフゲイム [ADV],kemu feat. GUMI,1,10
イカサマライフゲイム [EXH],kemu feat. GUMI,1,14
イカサマライフゲイム [HVN],kemu feat. GUMI,1,17
セツナトリップ [NOV],Last Note. feat. GUMI,1,4
セツナトリップ [ADV],Last Note. feat. GUMI,1,10
セツナトリップ [EXH],Last Note. feat. GUMI,1,15
セツナトリップ [HVN],Last Note. feat. GUMI,1,17
恋愛勇者 [NOV],Last Note. feat. GUMI,1,3
恋愛勇者 [ADV],Last Note. feat. GUMI,1,8
恋愛勇者 [EXH],Last Note. feat. GUMI,1,12
六兆年と一夜物語 [NOV],kemu feat. IA,1,3
六兆年と一夜物語 [ADV],kemu feat. IA,1,10
